title,authors,subjects
The True Story of the 3 Little Pigs!,Lane Smith,"The True Story of the 3 Little Pigs!,By A. Wolf (As Told to Jon Scieszka),1991 Scholastic first printing,By A. Wolf,his story,actual story,he says,Front page news,Cerdos,Lobos,Juvenile fiction,Fiction,Novela juvenil,Pigs,Swine,Wolves,Neighbors,Gluttony,Sneezing,Truthfulness and falsehood,Prisoners,Children's fiction,Bears, fiction,Ficción juvenil,Pigs, fiction,Wolves, fiction,Pigs in fiction,Fairy tales,Wolves in fiction,Parodies, imitations,Adaptations,Humorous stories,Picture books,Accessible book,Protected DAISY"
The Carrot Seed,R. Krauss,"Gardening,Fiction,Vegetable gardening,Juvenile fiction,Carrots,Ficción juvenil,Stories,Seeds,Gardens,Jardinería,Children's fiction,Plants, fiction,Gardening, fiction,Picture books,Accessible book,Protected DAISY"
Mouse Tales,Edith Thacher Hurd,"bedtime,beginning readers,children's fiction,children's stories,cuentos,ficción juvenil,fiction,high interest-low vocabulary books,juvenile audience,juvenile fiction,juvenile works,mice,picture books,ratones,readers,short stories,Spanish language materials,Mice, fiction,Children's fiction,Animals, fiction,Literature and fiction, juvenile,Accessible book,Protected DAISY"
A Bell for Ursli,Alois Carigiet,"Translations of Rhaeto-Romance/Romansh texts,Poetry,Picture books,Children,Switzerland, fiction,Stories in rhyme,Children's fiction,Adventure and adventurers, fiction,Accessible book,Protected DAISY"
Whistle for Willy,Ezra Jack Keats,"African Americans,Dogs,Whistling,Fiction,Juvenile fiction,Children's stories,Children's fiction,Dogs, fiction,African americans, fiction,Perros,Silbido,Spanish language materials,Ficción juvenil,Afronorteamericanos,Picture books,Whistling in fiction,Dogs in fiction,African Americans in fiction,Accessible book,Protected DAISY"
A Colour of his own,Leo Lionni,"Chameleons,Children's stories,Color,Fiction,Juvenile fiction,Stories in rhyme,Color, fiction,Children's fiction,Individuality,Friendship,Colors,Picture books,Children's literature,Animals, fiction,Lizards, fiction,Spanish language, readers,Camaleónes,Ficción juvenil,Spanish language materials,Chinese language materials,Accessible book,Protected DAISY"
The Tiny Seed,Gabriela Keselman,"Juvenile literature,Seeds,Plants,Dispersal,Plant life cycles,Juvenile fiction,Fiction,Development,Plants -- Juvenile literature,Seeds -- Juvenile literature,Plant life cycles -- Juvenile literature,Seeds -- Dispersal -- Juvenile literature,Seeds -- Dispersal,Plants, juvenile literature,Plant propagation,Seeds, juvenile literature,Children's fiction,Flowers, fiction,Picture books,Children's stories,Plants, fiction,Adventure and adventurers, fiction,Life cycles,JUVENILE NONFICTION / Readers / Beginner,Accessible book,Protected DAISY"
Mike Mulligan and His Steam Shovel,Virginia Lee Burton,"Steam shovels,Fiction,Children's fiction,Steam shovels, fiction,Children's stories,Excavating machinery,Retirement,Juvenile fiction,Accelerated Reader 2.8.,Board books,Machinery,Contests,Friendship,Politics and government,Political prisoners,Biography,Technology, fiction,Ficción juvenil,Determination (Personality trait),Determinación (Rasgo de la personalidad),Excavadoras,Boys, fiction,Non-classifiable,Toy and movable books,Literature and fiction, juvenile,Picture books,Accessible book,Protected DAISY"
The Little House,Virginia Lee Burton,"Dwellings,City and town life,Fiction,Juvenile fiction,Country life,Country homes,Children's fiction,Houses, fiction,Cities and towns, fiction,buildings,Cities and towns,illustration,Caldecott Medal,memories,urban sprawl,Houses,Country life, fiction,Board books,Vida urbana,Viviendas,Ficción juvenil,Frontier and pioneer life, fiction,Family life, fiction,collectionID:caldecott40,Literature and fiction, juvenile,Picture books,Accessible book,Protected DAISY"
The Grouchy Ladybug,Eric Carle,"Juvenile fiction,Insects,Ladybugs,German language materials,Fiction,Toy and movable books,Behavior,Specimens,Spanish language materials,Materiales en español,Libros de juguete y movibles,Novela,Mariquitas,Ficción juvenil,Muestras,Children's fiction,Ladybugs, fiction,Behavior, fiction,Picture books for children,Picture books,Insects, fiction,Emotions, fiction,Children's stories,Pictorial works,Temper,Board books,Social interaction,Anglais (langue),Ouvrages pour la jeunesse,Livres illustrés pour enfants,Coccinelles,Accessible book,Protected DAISY"
Fox in Socks,Dr. Seuss,"Open Library Staff Picks,Juvenile fiction,Foxes,Fiction,Stories in rhyme,Nonsense verses,Juvenile literature,Fantasy,Tongue twisters,Beginner,Concepts,Littérature pour la jeunesse anglaise,Reader,Animals,Sounds,*2015 50th Anniversary,*1965 Orig. Public.,*1993 Copyright renewal,*Christianbook.com,*Age 3-7,Preschool to gr.2,* Suitable for all ages,Dr. Seuss,Fox in Socks,Beginner Books,I Can Read It All By Myself,Kids,Children,Children's,Juvenile,Books,Stories,Literature,Tongue twister,Rhymes,Book in rhymes,1986,Fox in Sox,Read-Along,Sound,Recordings,Cassette,Rhyme,Board books,Children's fiction,Humorous stories,Juvenile poetry,Character books,Picture books,Children: Kindergarten,JUVENILE FICTION,Children's stories,Foxes, fiction,Fantasy fiction,Child and youth fiction,Accessible book,Protected DAISY"
The Snail and the Whale,Imelda Staunton,"Fiction,Stories in rhyme,Whales,Snails in fiction,Snails,Whales in fiction,Juvenile fiction,Snails, fiction,Whales, fiction,Children's fiction,Picture books,Scottish Gaelic language,Readers,Accessible book,Protected DAISY"
Harry the Dirty Dog,Gene Zion,"Cleanliness,Juvenile fiction,Dogs,Spanish language materials,Fiction,Hygiene,Children's fiction,Dogs, fiction,Picture books,Harry (Fictitious character : Zion),Baths,Humorous stories,Picture books for children,Children's stories, American,Accessible book,Protected DAISY"
"Julius, the Baby of the World",Lectorum Publications,"Brothers and sisters,Juvenile fiction,Fiction,Babies,Infants,Mice,Children's Books/Ages 4-8 Fiction,Spanish: Grades 1-2,Interactive Adventure,Picture books,Hermanos,Niños lactantes,Spanish language materials,Infantes lactantes,Spanish language,Novela,Hermanos y hermanas,Ratones,JUVENILE FICTION,Family,New Baby,Siblings,Accelerated Reader,Children's fiction,Mice, fiction,Brothers and sisters, fiction,Infants, fiction,Accessible book,Protected DAISY"
Have You Seen My Cat?,Eric Carle,"Picture books,Fiction,Cats,Juvenile fiction,Children: Kindergarten,Children: Babies Toddlers,Children's fiction,Cats, fiction,Lost and found possessions,Children's stories,Cat family (Mammals),Toy and movable books,Slide-and-peek books,Specimens,Board books,Children's stories, Chinese,Picture books for children,McFadden Lecturer,Lost articles,Ficción juvenil,Novela juvenil,Gatos,Bilingual,Objetos perdidos,Spanish language materials,Accessible book,Protected DAISY"
Alexander and the wind-up mouse,Xosé Manuel González Barreiro,"Children's stories,Fiction,Juvenile fiction,Mice,Toys,Magic,Lizards,Mechanical toys,Friendship,Children's fiction,Picture books,Mice, fiction,Mouse,collectionID:caldecotthonor70,Accessible book,Protected DAISY"
A squash and a squeeze,Julia Donaldson,"Fiction,Stories in rhyme,Humorous stories,Dwellings,Domestic animals,Juvenile fiction,Children's poetry,Children's fiction,Houses, fiction,Domestic animals, fiction,Older women,Farm life,Mens-dier-relatie,Crowding stress,Picture books,Toy and movable books,Accessible book,Protected DAISY"
Splash and Bubbles,The Jim Henson Company,"Children's fiction,Fishes, fiction,Marine animals, fiction,Picture books,Individuality, fiction,Octopuses, fiction,Sharks, fiction,Color, fiction"
Tikki Tikki Tembo,Arlene Mosel,"Folklore,picture book for children,children's stories,Neighbors,Mothers and sons,Brothers,Juvenile fiction,Wells,Ladders,Middle-born children,First-born children,Chinese Names,Rescues,Personal Names,Legends,Folklore, china,Picture books,Picture books for children,Folklore, juvenile literature,Chinese,Fiction,Children's fiction,Humorous stories,Mothers and sons, fiction,Accessible book,Protected DAISY"
Rooster who set out to see the world,Stanley Tucci,"Juvenile fiction,Animals,Counting,Animals in fiction,Set theory,Fiction,Numbers,Roosters,Children's fiction,Roosters, fiction,Picture books,Children's stories,Adventure and adventurers, fiction,Readers (Elementary),JUVENILE FICTION / Reader - Beginner,JUVENILE FICTION / Animals,Animals, fiction,Counting books,Juvenile literature,Children's stories, American,Picture books for children,Accessible book,Protected DAISY"
Blueberries for Sal,Robert McCloskey,"Bears,Berries,Blueberries,Fiction,Juvenile fiction,Mothers,Picture books,Picture books for children,Juvenle fiction,Parent and child,Children,Conduct of life,Family,Accelerated Reader 3.8.,Parents,Mothers and daughters,Animals,Classics,Bears, fiction,Mother and child, fiction,Maine, fiction,Children's fiction,Bears -- Juvenile fiction,Humorous stories,Children's audiobooks,Audiobooks,Madre e hijo,Ficción juvenil,Osos,Mother and child,Spanish language materials,collectionID:caldecotthonor40,Accessible book,Protected DAISY"
Inch by inch,Leo Lionni,"Juvenile fiction,Birds,Fiction,Caterpillars,Worms,Caldecott honor book,Picture books,Children's fiction,Caterpillars, fiction,Birds, fiction,collectionID:caldecotthonor60,Geometridae,Larvae,Accessible book,Protected DAISY"
Chicken Soup with Rice,Maurice Sendak,"Jewish Cooking,Rice,Humorous poetry,Juvenile poetry,Stories in rhyme,Soups,Juvenile fiction,Months,Chicken soup,Children's literature,Grandmothers,Poetry,Boys,Seasons,Fiction,Picture books,UP Elementary,Reading List,Hockaday,Before kindergarten,Entering 2nd grade,Children's poetry,American poetry,Months, poetry,Nonsense verses,Alligators,Counting,Conduct of life,Alphabet books,Specimens,Alphabet,Apathy,Meses,Ficción juvenil,Children's fiction,Toy and movable books,Accessible book,Protected DAISY"
Hora De Acostarse De Francisca/Bedtime for Frances,Lillian Hoban,"Frances (Fictitious character : Hoban),Fiction,Fear of the dark,Spanish language materials,Bedtime,Fear,Juvenile fiction,Badgers,Tejones,Ficción juvenil,Miedo,Hora de acostarse,Children's fiction,Sleep, fiction,Badgers, fiction,Picture books,Girls, fiction,Accessible book,Protected DAISY"
The snowman,Raymond Briggs,"Picture books,Stories without words,Juvenile fiction,Fiction,Snowmen,Dreams,Cartoons and comics,Toy and movable books,Readers,Miniature books,Specimens,Problems, exercises,Vocabulary,Juvenile literature,Study and teaching,Picture books for children,English language,Study and teaching (Primary),Welsh language,JUVENILE FICTION,Comics & Graphic Novels,Bedtime & Dreams,Social Themes,Cartoons and caricatures,General,Friendship,Children's fiction,Fantasy fiction,Caricatures and cartoons,Comic books, strips,Accessible book,Protected DAISY"
"1, 2, 3 to the zoo",Esther Rubio kokinos,"Counting,Zoo animals,Juvenile literature,Pictorial works,Picture books,Fiction,Juvenile fiction,Children: Kindergarten,Zoos, juvenile literature,Zoos,Counting books,Counting, juvenile literature,Animals, fiction,Children's fiction,Zoo animals, fiction,Numeration,Zoo aninals,Zoo animals, juvenile literature,Accessible book,Protected DAISY"
A House for Hermit Crab,Keith Nobbs,"Hermit crabs,Crabs,Marine animals,Fiction,Dwellings,Children's fiction,Crabs, fiction,Picture books,Juvenile fiction,Children: Grades 1-2,Self-confidence,Neighbors,Adjustment (Psychology),Household Moving,Reading list,Hockaday,Before kindergarten,Reading List,Armstrong Elementary,Kindergarten,Houses,Animals,Habitations,Friendship, fiction,Viviendas,Ficción juvenil,Cangrejo,Animales marinos,Spanish language materials,Marine animals, fiction,Houses, fiction,Home, fiction,Accessible book,Protected DAISY"
Good Night Gorilla,PeggyRathmann,"Fiction,Zoos,Zoo animals,Juvenile fiction,Gorilla,Ficción juvenil,Animales zoológicos,Parques zoológicos,Board books,Picture books,Zoo keepers,Bedtime stories,Animals,Spanish language materials,Spanish: Grades 2-3,Animales zoologicos,Gorilas,Animales del zoologico,Novela juvenil,Zoologicos,Children's fiction,Zoo animals, fiction,Zoos, fiction,Children's Books/Baby-Preschool,Child and youth fiction,Hora de acostarse,Bedtime,Animals, fiction,Accessible book,Protected DAISY"
Growing Vegetable Soup,Lois Ehlert,"Vegetable gardening,Gardening,Soups,Juvenile fiction,Ficción juvenil,Fiction,Huertos,Sopas,Juvenile literature,Spanish language materials,Children's books,Spanish language,Novela,Materiales en espanol,Children's fiction,Gardening, fiction,Vegetable gardening, fiction,Picture books,Spanish language, readers,Spanish language, juvenile literature,Food, fiction,JUVENILE FICTION,Cooking & Food,Nature & the Natural World,JUVENILE NONFICTION,Accelerated Reader,Hortalizas,Bilingual,Cooking,Vegetables,Gardens,Accessible book,Protected DAISY"
Around the World in 80 Days,Jules Verne,"Children's fiction,Adventure and adventurers, fiction,Continental european fiction (fictional works by one author),Voyages and travels, fiction,Fiction, action & adventure,Fiction, science fiction, general,Child and youth fiction,Picture books,Comics & graphic novels, general,Juvenile fiction,Fiction,Voyages around the world,Adventure and adventurers,Comic books, strips,Wagers,Cartoons and comics,Romance literature,Accessible book,Protected DAISY"
At the Waterworks,Bruce Degen,"Hydrology,Waterworks,Juvenile literature,Biodegradation,Spanish language materials,Biodegradación,Literatura juvenil,Water treatment plants,Picture books,Science,School field trips,Water-supply,Women science teachers,Juvenile fiction,Study and teaching,Hidrología,Purificación,Agua,Purification,Water,Water supply,Abastecimiento,Water-supply, juvenile literature,French language,Readers (Primary),Lectures et morceaux choisis (Enseignement primaire),Accessible book,Protected DAISY"
Fables,Arnold Lobel,"American Fables,Animales,Animals,Children's stories, American,Cuentos infantiles estadounidenses,Fables,Fables, American,Ficción juvenil,Fiction,Fábulas estadounidenses,Readers,Spanish language,Caldecott Medal,Juvenile fiction,Picture books,Virtues,Fables amřicaines,Conduct of life,Romans, nouvelles, etc. pour la jeunesse,Animaux,Picture book,1981,Histoires pour enfants amřicaines,Caldecott Medal books,Vices,Children's fiction,Folklore, united states,Animals, fiction,collectionID:caldecott80,Accessible book,Protected DAISY"
